Mes,data science,machine learning,deep learning,categorical
2004-01-01,12,18,4,1
2004-02-01,12,21,2,1
2004-03-01,9,21,2,1
2004-04-01,10,16,4,1
2004-05-01,7,14,3,1
2004-06-01,9,17,3,1
2004-07-01,9,16,3,1
2004-08-01,7,14,3,1
2004-09-01,10,17,4,1
2004-10-01,8,17,4,1
2004-11-01,8,15,2,1
2004-12-01,8,16,2,1
2005-01-01,10,16,2,0
2005-02-01,9,14,3,0
2005-03-01,8,13,2,0
2005-04-01,8,12,3,0
2005-05-01,8,15,3,0
2005-06-01,8,12,3,0
2005-07-01,6,11,2,0
2005-08-01,9,10,2,0
2005-09-01,7,14,2,0
2005-10-01,7,16,3,0
2005-11-01,7,13,4,0
2005-12-01,5,13,2,0
2006-01-01,7,12,3,0
2006-02-01,7,12,3,0
2006-03-01,7,12,2,0
2006-04-01,7,12,2,0
2006-05-01,7,11,2,0
2006-06-01,6,10,2,0
2006-07-01,5,9,1,0
2006-08-01,6,9,2,0
2006-09-01,7,11,1,0
2006-10-01,6,11,2,0
2006-11-01,7,11,2,0
2006-12-01,4,9,3,0
2007-01-01,6,11,2,0
2007-02-01,7,11,3,0
2007-03-01,6,9,3,0
2007-04-01,5,10,3,0
2007-05-01,6,9,1,0
2007-06-01,6,9,2,0
2007-07-01,4,9,2,0
2007-08-01,5,9,3,0
2007-09-01,6,9,2,0
2007-10-01,6,11,2,0
2007-11-01,6,10,2,0
2007-12-01,5,8,3,0
2008-01-01,6,9,2,1
2008-02-01,6,9,2,1
2008-03-01,5,8,3,1
2008-04-01,6,10,2,1
2008-05-01,5,9,2,1
2008-06-01,5,8,2,1
2008-07-01,5,7,3,1
2008-08-01,5,7,1,1
2008-09-01,6,9,2,1
2008-10-01,6,10,2,1
2008-11-01,6,9,2,1
2008-12-01,5,8,2,1
2009-01-01,6,8,3,0
2009-02-01,6,9,3,0
2009-03-01,6,8,2,0
2009-04-01,6,9,3,0
2009-05-01,5,8,2,0
2009-06-01,5,8,2,0
2009-07-01,4,8,2,0
2009-08-01,5,8,2,0
2009-09-01,7,8,3,0
2009-10-01,6,9,2,0
2009-11-01,7,9,2,0
2009-12-01,6,8,2,0
2010-01-01,7,8,2,0
2010-02-01,7,9,2,0
2010-03-01,6,9,2,0
2010-04-01,6,9,2,0
2010-05-01,6,8,2,0
2010-06-01,5,8,2,0
2010-07-01,5,8,3,0
2010-08-01,5,8,2,0
2010-09-01,7,9,2,0
2010-10-01,6,9,3,0
2010-11-01,6,9,3,0
2010-12-01,5,9,2,0
2011-01-01,7,8,3,0
2011-02-01,6,9,2,0
